Day,Drop_Prob,Avg_Return,SIP_Score
24,0.5333333333333333,-0.0016085465669111447,1.2939521364116366
3,0.5217391304347826,0.00024223105942490798,1.0562461102080445
21,0.5730337078651685,-0.0013716825988881994,1.0423763983155236
18,0.5604395604395604,-0.0009513833602278894,1.0402745846279882
22,0.5111111111111111,-0.000651796053295137,1.0099347719333154
4,0.46153846153846156,-0.0008559053499380076,0.993785054945387
25,0.5125,0.0013939678843798513,0.9892892220665302
10,0.5056179775280899,6.3013117772388e-05,0.9871181328770356
13,0.4888888888888889,-7.591879793428482e-05,0.9794836632738007
9,0.46236559139784944,0.0004669069400770902,0.9772307412933348
